date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:46:03	219/219	------	200	untouched ('OK')	text/plain	etag:W/%226400e44f-154%22	https://www.classcentral.com/robots.txt		(from )
20:46:03	665146/665146	------	200	untouched ('OK')	text/html	date:Fri,%2003%20Mar%202023%2007:44:15%20GMT	https://www.classcentral.com/	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/index.html	(from )
20:46:04	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2007:44:15%20GMT	http://schema.org/WebSite	D:/Miguel/Documents/Scrape/testv2/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
20:46:04	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2007:44:17%20GMT	http://twitter.com/classcentral	D:/Miguel/Documents/Scrape/testv2/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
20:46:04	179772/179772	------	200	untouched ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	D:/Miguel/Documents/Scrape/testv2/schema.org/WebSite.html	(from https://www.classcentral.com/)
20:46:04	9463/9463	------	200	untouched ('')	image/png	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	D:/Miguel/Documents/Scrape/testv2/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
20:46:04	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2007:44:18%20GMT	http://www.linkedin.com/company/class-central	D:/Miguel/Documents/Scrape/testv2/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
20:46:04	172086/172086	------	200	untouched ('OK')	text/html	date:Fri,%2003%20Mar%202023%2007:44:18%20GMT	https://twitter.com/classcentral	D:/Miguel/Documents/Scrape/testv2/twitter.com/classcentral.html	(from https://www.classcentral.com/)
20:46:04	156/156	------	999	error ('Request%20denied')	text/html	date:Fri,%2003%20Mar%202023%2007:44:19%20GMT	https://www.linkedin.com/company/class-central	D:/Miguel/Documents/Scrape/testv2/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
20:46:04	134214/134214	------	200	untouched ('OK')	text/html	etag:W/%22876ee232ddf2b0b37c4faec08f32c5bf%22	https://github.com/classcentral	D:/Miguel/Documents/Scrape/testv2/github.com/classcentral.html	(from https://www.classcentral.com/)
